OBJECTID,County,Acres,Install Type,Urban or Rural,Combined Class,Distance to Substation (Miles) GTET 100 Max Voltage,Percentile (GTET 100 Max Voltage),Substation Name GTET 100 Max Voltage,HIFLD ID (GTET 100 Max Voltage),Distance to Substation (Miles) GTET 200 Max Voltage,Percentile (GTET 200 Max Voltage),Substation Name GTET 200 Max Voltage,HIFLD ID (GTET 200 Max Voltage),Distance to Substation (Miles) CAISO,Percentile (CAISO),Substation CASIO Name,HIFLD ID (CAISO),Solar Technoeconomic Intersection,Shape__Area,Shape__Length
1,Alameda County,1.67263908679117,Rooftop,Urban,Rooftop - Urban,0.162731975570677,0 to 25th,Dixon Landing,309200,2.27228273078495,0 to 25th,Los Esteros,310258,2.27228273078495,0 to 25th,Los Esteros,310258,Within,6768.95467948914,365.80133565156
2,Alameda County,1.89707764572969,Rooftop,Urban,Rooftop - Urban,0.226728300992343,0 to 25th,Dixon Landing,309200,2.39281583656031,0 to 25th,Los Esteros,310258,2.39281583656031,0 to 25th,Los Esteros,310258,Within,7677.22898197174,366.909878174156
3,Alameda County,1.27578341416546,Rooftop,Urban,Rooftop - Urban,0.426103688504147,0 to 25th,Dixon Landing,309200,2.53729833624532,0 to 25th,Los Esteros,310258,2.53729833624532,0 to 25th,Los Esteros,310258,Within,5162.93599033356,290.576263298961
4,Alameda County,1.42428582303303,Rooftop,Urban,Rooftop - Urban,0.491305910843725,0 to 25th,Dixon Landing,309200,2.62669920611939,0 to 25th,Los Esteros,310258,2.62669920611939,0 to 25th,Los Esteros,310258,Within,5763.90575408936,344.705845911712
5,Alameda County,0.98442874236246,Rooftop,Urban,Rooftop - Urban,0.795821930914427,0 to 25th,Dixon Landing,309200,2.72862942749739,0 to 25th,Los Esteros,310258,2.72862942749739,25th to 50th,Los Esteros,310258,Within,3983.85969257355,283.968425462226
6,Alameda County,2.27556123899746,Rooftop,Urban,Rooftop - Urban,1.06061317263354,0 to 25th,Dixon Landing,309200,2.82629760263322,0 to 25th,Los Esteros,310258,2.82629760263322,25th to 50th,Los Esteros,310258,Within,9208.90591144562,422.343507033017
7,Alameda County,0.82432026671322,Rooftop,Urban,Rooftop - Urban,1.39735998222532,25th to 50th,Dixon Landing,309200,3.08342316109515,0 to 25th,Los Esteros,310258,3.08342316109515,25th to 50th,Los Esteros,310258,Within,3335.92050170898,232.171526218198
8,Alameda County,1.63108479691837,Rooftop,Urban,Rooftop - Urban,1.3466050360129,0 to 25th,Nummi,305808,3.16107060258884,25th to 50th,Los Esteros,310258,3.16107060258884,25th to 50th,Los Esteros,310258,Within,6600.78523349762,339.331693926596
9,Alameda County,1.91358088509715,Rooftop,Urban,Rooftop - Urban,1.14522051950388,0 to 25th,Dixon Landing,309200,3.23768185424336,25th to 50th,Los Esteros,310258,3.23768185424336,25th to 50th,Los Esteros,310258,Within,7743.99422550201,393.800819027131
10,Alameda County,0.562090341601896,Parking,Urban,Parking - Urban,1.16907690231912,0 to 25th,Dixon Landing,309200,3.28550490261479,25th to 50th,Los Esteros,310258,3.28550490261479,25th to 50th,Los Esteros,310258,Within,2274.70787239075,188.845197102678
